,afc,,,,,
206,633,,,,,
207,732,,,,,
208,609,,,,,
209,750,,,,,
210,642,,,,,
211,609,,,,,
212,609,,,,,
213,723,,,,,
214,795,,,,,
215,600,,,,,
216,795,,,,,
217,690,,,,,
218,693,,,,,
219,615,,,,,
220,693,,,,,
221,723,,,,,
222,720,,,,,
223,663,,,,,
224,609,,,,,
225,600,,,,,
226,612,,,,,
227,636,,,,,
228,789,,,,,
229,765,,,,,
230,609,,,,,
231,675,,,,,
232,825,,,,,
233,732,,,,,
234,780,,,,,
235,609,,,,,
236,705,,,,,
237,675,,,,,
238,600,,,,,
239,699,,,,,
240,666,,,,,
241,633,,,,,
242,603,,,,,
243,660,,,,,
244,690,,,,,
245,675,,,,,
246,609,,,,,
247,600,,,,,
248,735,,,,,
249,672,,,,,
250,645,,,,,
251,729,,,,,
252,606,,,,,
253,765,,,,,
254,732,,,,,
255,702,,,,,
256,792,,,,,
257,693,,,,,
258,669,,,,,
259,705,,,,,
260,732,,,,,
261,693,,,,,
262,675,,,,,
263,675,,,,,
264,720,,,,,
265,762,,,,,
266,633,,,,,
267,633,,,,,
268,645,,,,,
269,702,,,,,
270,690,,,,,
271,795,,,,,
272,702,,,,,
273,630,,,,,
274,762,,,,,
275,690,,,,,
276,606,,,,,
277,729,,,,,
278,600,,,,,
279,609,,,,,
280,615,,,,,
281,672,,,,,
282,729,,,,,
283,609,,,,,
284,672,,,,,
285,663,,,,,
286,612,,,,,
287,723,,,,,
288,645,,,,,
289,732,,,,,
290,822,,,,,
291,633,,,,,
292,603,,,,,
293,735,,,,,
294,606,,,,,
295,720,,,,,
296,675,,,,,
297,759,,,,,
298,702,,,,,
299,612,,,,,
300,636,,,,,
301,603,,,,,
302,663,,,,,
303,609,,,,,
304,735,,,,,
305,606,,,,,
306,732,,,,,
307,855,,,,,
308,690,,,,,
309,603,,,,,
310,633,,,,,
311,735,,,,,
312,675,,,,,
313,636,,,,,
314,723,,,,,
315,669,,,,,
316,633,,,,,
317,690,,,,,
318,783,,,,,
319,660,,,,,
320,669,,,,,
321,639,,,,,
322,690,,,,,
323,825,,,,,
324,600,,,,,
325,795,,,,,
326,675,,,,,
327,726,,,,,
328,729,,,,,
329,726,,,,,
330,732,,,,,
331,732,,,,,
332,645,,,,,
333,603,,,,,
334,603,,,,,
335,753,,,,,
336,789,,,,,
337,669,,,,,
338,795,,,,,
339,699,,,,,
340,729,,,,,
341,735,,,,,
342,729,,,,,
343,603,,,,,
344,693,,,,,
345,675,,,,,
346,615,,,,,
347,753,,,,,
348,792,,,,,
349,729,,,,,
350,645,,,,,
351,633,,,,,
352,633,,,,,
353,639,,,,,
354,699,,,,,
355,630,,,,,
356,645,,,,,
357,615,,,,,
358,885,,,,,
359,765,,,,,
360,765,,,,,
361,780,,,,,
362,753,,,,,
363,672,,,,,
364,639,,,,,
365,810,,,,,
366,675,,,,,
367,633,,,,,
368,633,,,,,
369,762,,,,,
370,600,,,,,
371,723,,,,,
372,606,,,,,
373,603,,,,,
374,690,,,,,
375,609,,,,,
376,720,,,,,
377,672,,,,,
378,630,,,,,
379,732,,,,,
380,753,,,,,
381,675,,,,,
382,630,,,,,
383,663,,,,,
384,603,,,,,
385,675,,,,,
386,723,,,,,
387,672,,,,,
388,609,,,,,
389,729,,,,,
390,819,,,,,
391,609,,,,,
392,669,,,,,
393,699,,,,,
394,606,,,,,
395,636,,,,,
396,609,,,,,
397,705,,,,,
398,822,,,,,
399,672,,,,,
400,615,,,,,
401,732,,,,,
402,609,,,,,
403,666,,,,,
404,783,,,,,
405,765,,,,,
406,609,,,,,
407,633,,,,,
408,600,,,,,
409,699,,,,,
410,765,,,,,
411,675,,,,,
412,696,,,,,
413,750,,,,,
414,609,,,,,
415,615,,,,,
416,726,,,,,
417,723,,,,,
418,690,,,,,
419,615,,,,,
420,612,,,,,
421,615,,,,,
422,756,,,,,
423,699,,,,,
424,606,,,,,
425,675,,,,,
426,825,,,,,
427,753,,,,,
428,705,,,,,
429,690,,,,,
430,636,,,,,
431,735,,,,,
432,639,,,,,
433,720,,,,,
434,606,,,,,
435,672,,,,,
436,606,,,,,
437,663,,,,,
438,615,,,,,
439,603,,,,,
440,645,,,,,
441,783,,,,,
442,723,,,,,
443,660,,,,,
444,735,,,,,
445,600,,,,,
446,609,,,,,
447,720,,,,,
448,690,,,,,
449,675,,,,,
450,702,,,,,
451,612,,,,,
452,669,,,,,
453,600,,,,,
454,666,,,,,
455,615,,,,,
456,675,,,,,
457,630,,,,,
458,633,,,,,
459,600,,,,,
460,762,,,,,
461,735,,,,,
462,753,,,,,
463,633,,,,,
464,765,,,,,
465,765,,,,,
466,609,,,,,
467,633,,,,,
468,810,,,,,
469,729,,,,,
470,645,,,,,
471,699,,,,,
472,705,,,,,
473,735,,,,,
474,666,,,,,
475,792,,,,,
476,612,,,,,
477,639,,,,,
478,696,,,,,
479,675,,,,,
480,615,,,,,
481,660,,,,,
482,609,,,,,
483,615,,,,,
484,600,,,,,
485,672,,,,,
486,600,,,,,
487,762,,,,,
488,720,,,,,
489,600,,,,,
490,693,,,,,
491,675,,,,,
492,702,,,,,
493,639,,,,,
494,672,,,,,
495,660,,,,,
496,702,,,,,
497,720,,,,,
498,609,,,,,
499,675,,,,,
500,705,,,,,
501,675,,,,,
502,765,,,,,
503,795,,,,,
504,639,,,,,
505,663,,,,,
506,615,,,,,
507,633,,,,,
508,675,,,,,
509,609,,,,,
510,672,,,,,
511,756,,,,,
512,666,,,,,
513,603,,,,,
514,756,,,,,
515,705,,,,,
516,765,,,,,
517,822,,,,,
518,693,,,,,
519,795,,,,,
520,603,,,,,
521,612,,,,,
522,606,,,,,
523,675,,,,,
524,735,,,,,
525,636,,,,,
526,765,,,,,
527,609,,,,,
528,603,,,,,
529,729,,,,,
530,609,,,,,
531,762,,,,,
532,660,,,,,
533,669,,,,,
534,702,,,,,
535,726,,,,,
536,705,,,,,
537,693,,,,,
538,609,,,,,
539,723,,,,,
540,696,,,,,
541,600,,,,,
542,603,,,,,
543,675,,,,,
544,633,,,,,
545,669,,,,,
546,732,,,,,
547,660,,,,,
548,729,,,,,
549,705,,,,,
550,705,,,,,
551,609,,,,,
552,735,,,,,
553,702,,,,,
554,600,,,,,
555,600,,,,,
556,609,,,,,
557,603,,,,,
558,762,,,,,
559,666,,,,,
560,609,,,,,
561,750,,,,,
562,729,,,,,
563,690,,,,,
564,609,,,,,
565,759,,,,,
566,609,,,,,
567,600,,,,,
568,603,,,,,
569,762,,,,,
570,729,,,,,
571,639,,,,,
572,639,,,,,
573,639,,,,,
574,729,,,,,
575,720,,,,,
576,669,,,,,
577,795,,,,,
578,603,,,,,
579,606,,,,,
580,816,,,,,
581,675,,,,,
582,753,,,,,
583,750,,,,,
584,750,,,,,
585,735,,,,,
586,675,,,,,
587,759,,,,,
588,642,,,,,
589,609,,,,,
590,663,,,,,
591,723,,,,,
592,783,,,,,
593,609,,,,,
594,600,,,,,
595,759,,,,,
596,765,,,,,
597,702,,,,,
598,702,,,,,
599,705,,,,,
600,600,,,,,
601,630,,,,,
602,735,,,,,
603,612,,,,,
604,810,,,,,
605,735,,,,,
606,729,,,,,
607,639,,,,,
608,693,,,,,
609,705,,,,,
610,642,,,,,
611,732,,,,,
612,612,,,,,
613,765,,,,,
614,630,,,,,
615,735,,,,,
616,702,,,,,
617,672,,,,,
618,600,,,,,
619,723,,,,,
620,732,,,,,
621,660,,,,,
622,636,,,,,
623,843,,,,,
624,609,,,,,
625,882,,,,,
626,663,,,,,
627,726,,,,,
628,675,,,,,
629,630,,,,,
630,660,,,,,
631,732,,,,,
632,702,,,,,
633,690,,,,,
634,630,,,,,
635,663,,,,,
636,615,,,,,
637,729,,,,,
638,639,,,,,
639,693,,,,,
640,729,,,,,
641,672,,,,,
642,609,,,,,
643,609,,,,,
644,606,,,,,
645,675,,,,,
646,672,,,,,
647,672,,,,,
648,660,,,,,
649,729,,,,,
650,675,,,,,
651,609,,,,,
652,750,,,,,
653,600,,,,,
654,645,,,,,
655,732,,,,,
656,606,,,,,
657,609,,,,,
658,732,,,,,
659,720,,,,,
660,705,,,,,
661,693,,,,,
662,600,,,,,
663,600,,,,,
664,705,,,,,
665,813,,,,,
666,753,,,,,
667,795,,,,,
668,825,,,,,
669,690,,,,,
670,615,,,,,
671,672,,,,,
672,630,,,,,
673,735,,,,,
674,696,,,,,
675,696,,,,,
676,675,,,,,
677,603,,,,,
678,756,,,,,
679,750,,,,,
680,633,,,,,
681,675,,,,,
682,609,,,,,
683,630,,,,,
684,675,,,,,
685,765,,,,,
686,750,,,,,
687,702,,,,,
688,720,,,,,
689,690,,,,,
690,789,,,,,
691,675,,,,,
692,615,,,,,
693,633,,,,,
694,705,,,,,
695,762,,,,,
696,795,,,,,
697,723,,,,,
698,729,,,,,
699,732,,,,,
700,615,,,,,
701,765,,,,,
702,729,,,,,
703,690,,,,,
704,762,,,,,
705,633,,,,,
706,705,,,,,
707,705,,,,,
708,852,,,,,
709,609,,,,,
710,672,,,,,
711,615,,,,,
712,690,,,,,
713,855,,,,,
714,600,,,,,
715,672,,,,,
716,615,,,,,
717,795,,,,,
718,645,,,,,
719,609,,,,,
720,762,,,,,
721,669,,,,,
722,693,,,,,
723,795,,,,,
724,639,,,,,
725,606,,,,,
726,603,,,,,
727,633,,,,,
728,675,,,,,
729,795,,,,,
730,606,,,,,
731,663,,,,,
732,603,,,,,
733,690,,,,,
734,693,,,,,
735,765,,,,,
736,603,,,,,
737,699,,,,,
738,702,,,,,
739,759,,,,,
740,735,,,,,
741,645,,,,,
742,840,,,,,
743,645,,,,,
744,813,,,,,
745,690,,,,,
746,765,,,,,
747,636,,,,,
748,600,,,,,
749,753,,,,,
750,825,,,,,
751,600,,,,,
752,729,,,,,
753,633,,,,,
754,642,,,,,
755,663,,,,,
756,603,,,,,
757,732,,,,,
758,825,,,,,
759,732,,,,,
760,699,,,,,
761,765,,,,,
762,669,,,,,
763,612,,,,,
764,753,,,,,
765,732,,,,,
766,633,,,,,
767,765,,,,,
768,693,,,,,
769,675,,,,,
770,633,,,,,
771,630,,,,,
772,672,,,,,
773,600,,,,,
774,669,,,,,
775,855,,,,,
776,690,,,,,
777,732,,,,,
778,705,,,,,
779,606,,,,,
780,732,,,,,
781,765,,,,,
782,615,,,,,
783,609,,,,,
784,729,,,,,
785,855,,,,,
786,663,,,,,
787,705,,,,,
788,762,,,,,
789,795,,,,,
790,780,,,,,
791,795,,,,,
792,795,,,,,
793,639,,,,,
794,762,,,,,
795,660,,,,,
796,672,,,,,
797,765,,,,,
798,849,,,,,
799,822,,,,,
800,690,,,,,
801,603,,,,,
802,603,,,,,
803,660,,,,,
804,732,,,,,
805,693,,,,,
806,795,,,,,
807,645,,,,,
808,609,,,,,
809,609,,,,,
810,636,,,,,
811,645,,,,,
812,672,,,,,
813,636,,,,,
814,705,,,,,
815,630,,,,,
816,690,,,,,
817,762,,,,,
818,660,,,,,
819,762,,,,,
820,732,,,,,
821,663,,,,,
822,672,,,,,
823,735,,,,,
824,633,,,,,
825,600,,,,,
826,603,,,,,
827,663,,,,,
828,735,,,,,
829,675,,,,,
830,615,,,,,
831,756,,,,,
832,792,,,,,
833,609,,,,,
834,669,,,,,
835,732,,,,,
836,642,,,,,
837,795,,,,,
838,669,,,,,
839,759,,,,,
840,645,,,,,
841,639,,,,,
842,735,,,,,
843,705,,,,,
844,630,,,,,
845,759,,,,,
846,753,,,,,
847,633,,,,,
848,735,,,,,
849,759,,,,,
850,660,,,,,
851,789,,,,,
852,723,,,,,
853,615,,,,,
854,663,,,,,
855,720,,,,,
856,735,,,,,
857,615,,,,,
858,705,,,,,
859,789,,,,,
860,735,,,,,
861,753,,,,,
862,699,,,,,
863,660,,,,,
864,750,,,,,
865,639,,,,,
866,633,,,,,
867,645,,,,,
868,699,,,,,
869,696,,,,,
870,825,,,,,
871,735,,,,,
872,645,,,,,
873,603,,,,,
874,735,,,,,
875,600,,,,,
876,795,,,,,
877,705,,,,,
878,672,,,,,
879,666,,,,,
880,636,,,,,
881,612,,,,,
882,615,,,,,
883,645,,,,,
884,720,,,,,
885,642,,,,,
886,660,,,,,
887,639,,,,,
888,675,,,,,
889,609,,,,,
890,645,,,,,
891,636,,,,,
892,705,,,,,
893,603,,,,,
894,693,,,,,
895,615,,,,,
896,693,,,,,
897,615,,,,,
898,669,,,,,
899,603,,,,,
900,735,,,,,
901,615,,,,,
902,675,,,,,
903,600,,,,,
904,603,,,,,
905,630,,,,,
906,762,,,,,
907,732,,,,,
908,600,,,,,
909,705,,,,,
910,639,,,,,
911,735,,,,,
912,639,,,,,
913,669,,,,,
914,696,,,,,
915,696,,,,,
916,630,,,,,
917,645,,,,,
918,696,,,,,
919,663,,,,,
920,600,,,,,
921,765,,,,,
922,702,,,,,
923,666,,,,,
924,612,,,,,
925,675,,,,,
926,639,,,,,
927,609,,,,,
928,675,,,,,
929,603,,,,,
930,669,,,,,
931,609,,,,,
932,765,,,,,
933,723,,,,,
934,705,,,,,
935,612,,,,,
936,603,,,,,
937,702,,,,,
938,669,,,,,
939,606,,,,,
940,699,,,,,
941,813,,,,,
942,672,,,,,
943,705,,,,,
944,636,,,,,
945,639,,,,,
946,720,,,,,
947,669,,,,,
948,612,,,,,
949,633,,,,,
950,615,,,,,
951,660,,,,,
952,765,,,,,
953,669,,,,,
954,636,,,,,
955,645,,,,,
956,792,,,,,
957,609,,,,,
958,666,,,,,
959,645,,,,,
960,633,,,,,
961,630,,,,,
962,606,,,,,
963,732,,,,,
964,606,,,,,
965,705,,,,,
966,606,,,,,
967,636,,,,,
968,660,,,,,
969,705,,,,,
970,633,,,,,
971,675,,,,,
972,762,,,,,
973,639,,,,,
974,672,,,,,
975,693,,,,,
976,600,,,,,
977,795,,,,,
978,675,,,,,
979,720,,,,,
980,615,,,,,
981,612,,,,,
982,645,,,,,
983,660,,,,,
984,669,,,,,
985,630,,,,,
986,612,,,,,
987,660,,,,,
988,762,,,,,
989,675,,,,,
990,660,,,,,
991,615,,,,,
992,696,,,,,
993,600,,,,,
994,663,,,,,
995,603,,,,,
996,675,,,,,
997,609,,,,,
998,642,,,,,
999,765,,,,,
1000,630,,,,,
1001,720,,,,,
1002,732,,,,,
1003,702,,,,,
1004,669,,,,,
1005,609,,,,,
1006,699,,,,,
1007,606,,,,,
1008,606,,,,,
1009,642,,,,,
1010,666,,,,,
1011,612,,,,,
1012,633,,,,,
1013,630,,,,,
1014,603,,,,,
1015,795,,,,,
1016,666,,,,,
1017,675,,,,,
1018,669,,,,,
1019,705,,,,,
1020,723,,,,,
1021,672,,,,,
1022,705,,,,,
1023,642,,,,,
1024,645,,,,,
1025,675,,,,,
1026,693,,,,,
1027,645,,,,,
1028,642,,,,,
1029,765,,,,,
1030,669,,,,,
1031,636,,,,,
1032,630,,,,,
1033,705,,,,,
1034,783,,,,,
1035,606,,,,,
1036,645,,,,,
1037,663,,,,,
1038,702,,,,,
1039,735,,,,,
1040,705,,,,,
1041,615,,,,,
1042,705,,,,,
1043,660,,,,,
1044,726,,,,,
1045,672,,,,,
1046,885,,,,,
1047,645,,,,,
1048,723,,,,,
1049,639,,,,,
1050,735,,,,,
1051,702,,,,,
1052,816,,,,,
1053,729,,,,,
1054,726,,,,,
1055,669,,,,,
1056,669,,,,,
1057,645,,,,,
1058,645,,,,,
1059,615,,,,,
1060,699,,,,,
1061,645,,,,,
1062,636,,,,,
1063,735,,,,,
1064,789,,,,,
1065,732,,,,,
1066,789,,,,,
1067,729,,,,,
1068,630,,,,,
1069,765,,,,,
1070,705,,,,,
1071,705,,,,,
1072,615,,,,,
1073,675,,,,,
1074,639,,,,,
1075,606,,,,,
1076,699,,,,,
1077,645,,,,,
1078,729,,,,,
1079,609,,,,,
1080,762,,,,,
1081,762,,,,,
1082,693,,,,,
1083,660,,,,,
1084,699,,,,,
1085,663,,,,,
1086,666,,,,,
1087,762,,,,,
1088,660,,,,,
1089,729,,,,,
1090,636,,,,,
1091,840,,,,,
1092,750,,,,,
1093,702,,,,,
1094,765,,,,,
1095,762,,,,,
1096,660,,,,,
1097,666,,,,,
1098,765,,,,,
1099,660,,,,,
1100,639,,,,,
1101,699,,,,,
1102,780,,,,,
1103,630,,,,,
1104,675,,,,,
1105,600,,,,,
1106,600,,,,,
1107,705,,,,,
1108,633,,,,,
1109,609,,,,,
1110,660,,,,,
1111,762,,,,,
1112,756,,,,,
1113,675,,,,,
1114,663,,,,,
1115,666,,,,,
1116,603,,,,,
1117,615,,,,,
1118,615,,,,,
1119,603,,,,,
1120,735,,,,,
1121,723,,,,,
1122,663,,,,,
1123,696,,,,,
1124,753,,,,,
1125,699,,,,,
1126,612,,,,,
1127,633,,,,,
1128,645,,,,,
1129,762,,,,,
1130,699,,,,,
1131,600,,,,,
1132,723,,,,,
1133,675,,,,,
1134,666,,,,,
1135,705,,,,,
1136,663,,,,,
1137,615,,,,,
1138,783,,,,,
1139,615,,,,,
1140,660,,,,,
1141,609,,,,,
1142,690,,,,,
1143,639,,,,,
1144,729,,,,,
1145,630,,,,,
1146,705,,,,,
1147,693,,,,,
1148,675,,,,,
1149,705,,,,,
1150,675,,,,,
1151,765,,,,,
1152,609,,,,,
1153,609,,,,,
1154,765,,,,,
1155,600,,,,,
1156,705,,,,,
1157,762,,,,,
1158,660,,,,,
1159,609,,,,,
1160,702,,,,,
1161,663,,,,,
1162,642,,,,,
1163,609,,,,,
1164,669,,,,,
1165,675,,,,,
1166,675,,,,,
1167,663,,,,,
1168,855,,,,,
1169,735,,,,,
1170,663,,,,,
1171,765,,,,,
1172,600,,,,,
1173,660,,,,,
1174,819,,,,,
1175,645,,,,,
1176,780,,,,,
1177,690,,,,,
1178,645,,,,,
1179,729,,,,,
1180,762,,,,,
1181,615,,,,,
1182,660,,,,,
1183,636,,,,,
1184,699,,,,,
1185,735,,,,,
1186,792,,,,,
1187,729,,,,,
1188,639,,,,,
1189,609,,,,,
1190,672,,,,,
1191,666,,,,,
1192,822,,,,,
1193,705,,,,,
1194,729,,,,,
1195,756,,,,,
1196,702,,,,,
1197,630,,,,,
1198,675,,,,,
1199,735,,,,,
1200,699,,,,,
1201,735,,,,,
1202,669,,,,,
1203,663,,,,,
1204,633,,,,,
1205,723,,,,,
1206,732,,,,,
1207,666,,,,,
1208,642,,,,,
1209,633,,,,,
1210,795,,,,,
1211,765,,,,,
1212,675,,,,,
1213,702,,,,,
1214,603,,,,,
1215,765,,,,,
1216,600,,,,,
1217,789,,,,,
1218,633,,,,,
1219,630,,,,,
1220,612,,,,,
1221,852,,,,,
1222,705,,,,,
1223,702,,,,,
1224,675,,,,,
1225,630,,,,,
1226,630,,,,,
1227,729,,,,,
1228,702,,,,,
1229,660,,,,,
1230,735,,,,,
1231,729,,,,,
1232,603,,,,,
1233,672,,,,,
1234,645,,,,,
1235,612,,,,,
1236,660,,,,,
1237,645,,,,,
1238,855,,,,,
1239,615,,,,,
1240,750,,,,,
1241,615,,,,,
1242,615,,,,,
1243,636,,,,,
1244,762,,,,,
1245,600,,,,,
1246,702,,,,,
1247,735,,,,,
1248,690,,,,,
1249,693,,,,,
1250,630,,,,,
1251,642,,,,,
1252,675,,,,,
1253,675,,,,,
1254,600,,,,,
1255,600,,,,,
1256,732,,,,,
1257,705,,,,,
1258,696,,,,,
1259,639,,,,,
1260,660,,,,,
1261,795,,,,,
1262,645,,,,,
1263,696,,,,,
1264,639,,,,,
1265,696,,,,,
1266,690,,,,,
1267,753,,,,,
1268,645,,,,,
1269,702,,,,,
1270,789,,,,,
1271,612,,,,,
1272,609,,,,,
1273,630,,,,,
1274,603,,,,,
1275,609,,,,,
1276,735,,,,,
1277,606,,,,,
1278,615,,,,,
1279,633,,,,,
1280,759,,,,,
1281,675,,,,,
1282,615,,,,,
1283,750,,,,,
1284,606,,,,,
1285,600,,,,,
1286,612,,,,,
1287,633,,,,,
1288,672,,,,,
1289,600,,,,,
1290,633,,,,,
1291,852,,,,,
1292,762,,,,,
1293,609,,,,,
1294,639,,,,,
1295,750,,,,,
1296,609,,,,,
1297,729,,,,,
1298,702,,,,,
1299,723,,,,,
1300,612,,,,,
1301,852,,,,,
1302,735,,,,,
1303,672,,,,,
1304,690,,,,,
1305,690,,,,,
1306,690,,,,,
1307,660,,,,,
1308,693,,,,,
1309,615,,,,,
1310,732,,,,,
1311,600,,,,,
1312,735,,,,,
1313,885,,,,,
1314,600,,,,,
1315,705,,,,,
1316,675,,,,,
1317,675,,,,,
1318,675,,,,,
1319,606,,,,,
1320,765,,,,,
1321,663,,,,,
1322,822,,,,,
1323,660,,,,,
1324,645,,,,,
1325,615,,,,,
1326,750,,,,,
1327,630,,,,,
1328,642,,,,,
1329,660,,,,,
1330,663,,,,,
1331,615,,,,,
1332,750,,,,,
1333,792,,,,,
1334,663,,,,,
1335,699,,,,,
1336,675,,,,,
1337,765,,,,,
1338,633,,,,,
1339,615,,,,,
1340,615,,,,,
1341,732,,,,,
1342,762,,,,,
1343,642,,,,,
1344,723,,,,,
1345,666,,,,,
1346,663,,,,,
1347,600,,,,,
1348,615,,,,,
1349,759,,,,,
1350,630,,,,,
1351,642,,,,,
1352,600,,,,,
1353,765,,,,,
1354,699,,,,,
1355,792,,,,,
1356,669,,,,,
1357,702,,,,,
1358,603,,,,,
1359,663,,,,,
1360,675,,,,,
1361,702,,,,,
1362,603,,,,,
1363,615,,,,,
1364,693,,,,,
1365,663,,,,,
1366,606,,,,,
1367,636,,,,,
1368,723,,,,,
1369,702,,,,,
1370,699,,,,,
1371,693,,,,,
1372,732,,,,,
1373,603,,,,,
1374,765,,,,,
1375,639,,,,,
1376,699,,,,,
1377,645,,,,,
1378,729,,,,,
1379,762,,,,,
1380,825,,,,,
1381,609,,,,,
1382,645,,,,,
1383,645,,,,,
1384,699,,,,,
1385,675,,,,,
1386,645,,,,,
1387,600,,,,,
1388,642,,,,,
1389,795,,,,,
1390,705,,,,,
1391,633,,,,,
1392,609,,,,,
1393,732,,,,,
1394,762,,,,,
1395,726,,,,,
1396,720,,,,,
1397,762,,,,,
1398,759,,,,,
1399,750,,,,,
1400,609,,,,,
1401,735,,,,,
1402,669,,,,,
1403,735,,,,,
1404,669,,,,,
1405,696,,,,,
1406,606,,,,,
1407,603,,,,,
1408,702,,,,,
1409,702,,,,,
1410,609,,,,,
1411,630,,,,,
1412,732,,,,,
1413,819,,,,,
1414,645,,,,,
1415,660,,,,,
1416,759,,,,,
1417,675,,,,,
1418,705,,,,,
1419,609,,,,,
1420,690,,,,,
1421,669,,,,,
1422,690,,,,,
1423,735,,,,,
1424,663,,,,,
1425,702,,,,,
1426,603,,,,,
1427,753,,,,,
1428,639,,,,,
1429,675,,,,,
1430,639,,,,,
1431,603,,,,,
1432,693,,,,,
1433,600,,,,,
1434,609,,,,,
1435,675,,,,,
1436,690,,,,,
1437,603,,,,,
1438,750,,,,,
1439,606,,,,,
1440,765,,,,,
1441,765,,,,,
1442,765,,,,,
1443,720,,,,,
1444,726,,,,,
1445,642,,,,,
1446,642,,,,,
1447,735,,,,,
1448,732,,,,,
1449,672,,,,,
1450,762,,,,,
1451,675,,,,,
1452,702,,,,,
1453,603,,,,,
1454,645,,,,,
1455,642,,,,,
1456,630,,,,,
1457,675,,,,,
1458,723,,,,,
1459,750,,,,,
1460,765,,,,,
1461,600,,,,,
1462,600,,,,,
1463,615,,,,,
1464,642,,,,,
1465,642,,,,,
1466,765,,,,,
1467,672,,,,,
1468,645,,,,,
1469,702,,,,,
1470,633,,,,,
1471,756,,,,,
1472,633,,,,,
1473,606,,,,,
1474,660,,,,,
1475,729,,,,,
1476,666,,,,,
1477,735,,,,,
1478,723,,,,,
1479,726,,,,,
1480,645,,,,,
1481,729,,,,,
1482,633,,,,,
1483,690,,,,,
1484,639,,,,,
1485,630,,,,,
1486,696,,,,,
1487,630,,,,,
1488,633,,,,,
1489,723,,,,,
1490,663,,,,,
1491,603,,,,,
1492,723,,,,,
1493,600,,,,,
1494,615,,,,,
