,dpn,calf_bw,pw_adg,wa,ww,bega,belg,kirmt,tseday,negative,positive,,,,,
80,5,28.5,0.225801596,9.49,43.5,0,1,0,0,1,0,,,,,
81,8,33,0.208791209,13,52,0,0,1,0,1,0,,,,,
82,5,32.5,0.227445034,13.19,53.5,0,0,1,0,1,0,,,,,
83,9,27,0.205811138,11.8,44,0,0,1,0,1,0,,,,,
84,4,30.4,0.249350649,13.75,54.4,1,0,0,0,1,0,,,,,
85,5,33.5,0.179856115,11.12,47.5,0,0,1,0,1,0,,,,,
86,3,29.3,0.232288037,13.53,51.3,1,0,0,0,1,0,,,,,
87,4,27.4,0.288981028,11.37,50.4,0,1,0,0,1,0,,,,,
88,5,29.5,0.295212425,11.13,52.5,0,1,0,0,0,1,,,,,
89,5,28.5,0.297945743,9.11,47.5,0,1,0,0,1,0,,,,,
90,7,27.1,0.297160467,12.98,54.1,1,0,0,0,1,0,,,,,
91,8,31,0.339537223,11.36,58,0,0,1,0,1,0,,,,,
92,5,33.5,0.168687401,13.55,49.5,0,0,1,0,1,0,,,,,
93,3,32.3,0.255649862,13.97,57.3,0,0,1,0,1,0,,,,,
94,3,27.3,0.329890993,9.96,50.3,0,1,0,0,1,0,,,,,
95,8,32,0.206540448,12.45,50,0,0,0,1,1,0,,,,,
96,7,29.1,0.259330251,12.67,52.1,1,0,0,0,1,0,,,,,
97,8,29,0.273914876,13.56,55,1,0,0,0,1,0,,,,,
98,8,29,0.203500204,10.53,44,0,0,0,1,1,0,,,,,
99,7,31.1,0.220750552,13.59,52.1,0,1,0,0,1,0,,,,,
100,7,30.1,0.396158463,11.9,63.1,0,0,0,1,1,0,,,,,
101,9,29,0.321285141,12.45,57,0,0,1,0,0,1,,,,,
102,5,31.5,0.348432056,11.48,59.5,0,0,1,0,1,0,,,,,
103,8,30,0.356368144,9.22,53,0,1,0,0,1,0,,,,,
104,7,27.1,0.380427653,10.89,56.1,0,1,0,0,1,0,,,,,
105,7,32.1,0.224148237,9.56,47.1,0,0,1,0,0,1,,,,,
106,7,30.1,0.288392213,13.87,58.1,0,0,1,0,1,0,,,,,
107,7,30.1,0.303030303,9.9,51.1,1,0,0,0,1,0,,,,,
108,4,32.4,0.321027287,10.68,56.4,0,0,0,1,1,0,,,,,
109,4,29.4,0.321151717,12.9,58.4,0,0,1,0,1,0,,,,,
110,4,27.4,0.244200244,10.53,45.4,1,0,0,0,1,0,,,,,
111,3,33.3,0.34562212,11.16,60.3,0,0,1,0,1,0,,,,,
112,9,30,0.313345677,10.03,52,0,0,1,0,1,0,,,,,
113,6,28.2,0.198019802,10.1,42.2,0,0,1,0,1,0,,,,,
114,9,31,0.186335404,9.2,43,0,0,1,0,1,0,,,,,
115,6,29.2,0.183150183,10.14,42.2,0,1,0,0,1,0,,,,,
116,5,30.5,0.174341093,13.93,47.5,0,0,0,1,1,0,,,,,
117,4,28.4,0.217365053,11.83,46.4,1,0,0,0,1,0,,,,,
118,4,31.4,0.268528464,10.64,51.4,1,0,0,0,1,0,,,,,
119,8,27,0.31779661,9.44,48,0,0,1,0,1,0,,,,,
120,7,27.1,0.284870226,13.54,54.1,0,0,1,0,1,0,,,,,
121,7,32.1,0.33126294,10.35,56.1,0,0,1,0,1,0,,,,,
122,9,32,0.394996708,10.85,62,0,0,1,0,1,0,,,,,
123,7,28.1,0.207189475,13.79,48.1,1,0,0,0,1,0,,,,,
124,7,33.1,0.188631791,11.36,48.1,0,1,0,0,1,0,,,,,
125,6,28.2,0.218658892,11.76,46.2,0,0,0,1,0,1,,,,,
126,4,31.4,0.373190028,9.57,56.4,1,0,0,0,1,0,,,,,
127,4,30.4,0.30058535,9.03,49.4,0,0,1,0,1,0,,,,,
128,6,31.2,0.188323917,10.62,45.2,0,0,1,0,1,0,,,,,
129,4,32.4,0.407412275,10.87,63.4,0,0,0,1,1,0,,,,,
130,4,33.4,0.288250894,12.39,58.4,0,1,0,0,1,0,,,,,
131,6,31.2,0.358577166,9.96,56.2,1,0,0,0,1,0,,,,,
132,6,27.2,0.228034876,10.65,44.2,0,0,1,0,1,0,,,,,
133,4,33.4,0.409463148,9.42,60.4,0,0,0,1,1,0,,,,,
134,4,30.4,0.284765069,9.03,48.4,0,0,0,1,0,1,,,,,
135,6,29.2,0.326350142,13.57,60.2,1,0,0,0,1,0,,,,,
136,8,29,0.308239478,12.05,55,0,1,0,0,0,1,,,,,
137,8,29,0.236861584,9.65,45,0,0,1,0,1,0,,,,,
138,7,30.1,0.409028935,9.43,57.1,0,0,0,1,1,0,,,,,
139,6,32.2,0.237501484,12.03,52.2,0,0,0,1,1,0,,,,,
140,5,31.5,0.240500241,11.88,51.5,1,0,0,0,1,0,,,,,
141,5,27.5,0.28635062,13.47,54.5,0,1,0,0,1,0,,,,,
142,4,33.4,0.186335404,9.2,45.4,0,1,0,0,1,0,,,,,
143,7,27.1,0.238095238,13.8,50.1,0,0,1,0,1,0,,,,,
144,5,27.5,0.157100964,13.64,42.5,0,0,1,0,1,0,,,,,
145,4,29.4,0.292980195,12.19,54.4,0,1,0,0,1,0,,,,,
146,4,33.4,0.338123415,11.83,61.4,0,0,1,0,1,0,,,,,
147,6,27.2,0.371428571,10,53.2,0,1,0,0,1,0,,,,,
148,4,33.4,0.22643063,13.88,55.4,0,0,1,0,1,0,,,,,
149,5,30.5,0.255787185,11.17,50.5,0,0,0,1,1,0,,,,,
150,5,30.5,0.265287173,10.77,50.5,0,0,1,0,0,1,,,,,
151,6,30.2,0.30563731,12.62,57.2,0,0,1,0,1,0,,,,,
152,8,31,0.203013142,13.37,50,1,0,0,0,1,0,,,,,
153,4,29.4,0.224971879,11.43,47.4,0,0,1,0,1,0,,,,,
154,9,31,0.226921093,13.85,53,0,0,1,0,1,0,,,,,
155,7,27.1,0.232052212,9.85,43.1,0,0,1,0,1,0,,,,,
156,8,28,0.298115907,11.98,53,0,0,1,0,1,0,,,,,
157,4,28.4,0.231603327,13.57,50.4,0,0,1,0,1,0,,,,,
158,8,30,0.328407225,9.57,52,1,0,0,0,1,0,,,,,
159,8,32,0.151745068,13.18,46,0,0,1,0,1,0,,,,,
160,9,33,0.422469097,9.13,60,0,1,0,0,1,0,,,,,
161,7,31.1,0.332225914,9.89,54.1,1,0,0,0,1,0,,,,,
162,6,30.2,0.289369479,9.38,49.2,0,0,1,0,1,0,,,,,
163,4,27.4,0.226358149,11.36,45.4,0,0,0,1,1,0,,,,,
164,7,33.1,0.351864884,12.18,63.1,0,0,1,0,1,0,,,,,
165,7,31.1,0.282264388,9.11,49.1,0,0,0,1,1,0,,,,,
166,7,27.1,0.184034967,12.42,43.1,0,0,1,0,1,0,,,,,
167,5,33.5,0.357830994,10.38,59.5,0,0,1,0,1,0,,,,,
168,4,33.4,0.224887556,13.34,54.4,0,0,1,0,1,0,,,,,
169,4,32.4,0.269809713,10.06,51.4,0,0,0,1,1,0,,,,,
170,9,27,0.239182431,13.14,49,0,0,0,1,1,0,,,,,
171,6,27.2,0.309630579,13.38,56.2,0,0,1,0,1,0,,,,,
172,6,27.2,0.237600238,9.62,43.2,0,0,1,0,1,0,,,,,
173,3,33.3,0.345535039,13.23,65.3,0,1,0,0,1,0,,,,,
174,7,30.1,0.22866771,11.87,49.1,0,0,0,1,1,0,,,,,
175,8,28,0.287631831,11.92,52,0,0,1,0,1,0,,,,,
176,8,30,0.251144925,9.67,47,0,0,0,1,1,0,,,,,
177,7,28.1,0.278745645,10.25,48.1,0,0,1,0,1,0,,,,,
178,7,30.1,0.274725275,10.4,50.1,0,1,0,0,1,0,,,,,
179,5,32.5,0.252525253,11.88,53.5,0,0,1,0,1,0,,,,,
180,5,28.5,0.250626566,10.83,47.5,0,0,1,0,1,0,,,,,
181,8,29,0.268850055,11.69,51,0,0,1,0,1,0,,,,,
182,6,33.2,0.216268173,11.89,51.2,0,1,0,0,1,0,,,,,
183,7,32.1,0.339798952,10.09,56.1,1,0,0,0,1,0,,,,,
184,8,27,0.323006901,9.73,49,0,1,0,0,1,0,,,,,
185,7,30.1,0.339433294,9.68,53.1,0,0,1,0,1,0,,,,,
186,6,29.2,0.376269911,11.39,59.2,0,1,0,0,1,0,,,,,
187,5,31.5,0.175419362,13.03,47.5,1,0,0,0,0,1,,,,,
188,5,28.5,0.185670599,13.08,45.5,1,0,0,0,1,0,,,,,
189,5,29.5,0.206143063,13.86,49.5,0,0,0,1,1,0,,,,,
190,7,29.1,0.31810295,9.88,51.1,0,0,1,0,1,0,,,,,
191,8,28,0.20004707,12.14,45,1,0,0,0,1,0,,,,,
192,5,28.5,0.311371279,11.47,53.5,1,0,0,0,1,0,,,,,
193,6,27.2,0.348166685,13.13,59.2,0,0,0,1,1,0,,,,,
194,7,27.1,0.282752121,10.61,48.1,1,0,0,0,1,0,,,,,
195,7,28.1,0.248988484,9.18,44.1,0,0,1,0,1,0,,,,,
196,7,27.1,0.272673385,12.05,50.1,0,1,0,0,1,0,,,,,
197,7,33.1,0.211797098,13.49,53.1,0,0,1,0,1,0,,,,,
198,3,28.3,0.23006135,13.04,49.3,0,0,1,0,1,0,,,,,
199,7,32.1,0.1504978,12.34,45.1,1,0,0,0,1,0,,,,,
200,6,27.2,0.345368917,9.1,49.2,0,1,0,0,0,1,,,,,
201,4,27.4,0.306748466,9.78,48.4,0,0,1,0,1,0,,,,,
202,6,27.2,0.404694456,10.59,57.2,0,0,1,0,1,0,,,,,
203,8,32,0.146809712,12.65,45,0,0,1,0,1,0,,,,,
204,5,32.5,0.176221805,12.16,47.5,0,0,0,1,1,0,,,,,
205,5,28.5,0.238343513,9.59,44.5,0,0,1,0,1,0,,,,,
206,4,31.4,0.313283208,11.4,56.4,0,0,1,0,1,0,,,,,
207,7,27.1,0.315025339,10.43,50.1,0,0,1,0,1,0,,,,,
208,6,32.2,0.366300366,10.14,58.2,0,0,0,1,1,0,,,,,
209,5,27.5,0.23784748,9.61,43.5,0,0,1,0,1,0,,,,,
210,7,33.1,0.24291498,12.35,54.1,0,0,0,1,1,0,,,,,
211,6,33.2,0.299297801,12.41,59.2,0,0,1,0,1,0,,,,,
212,6,31.2,0.270562771,10.56,51.2,0,1,0,0,1,0,,,,,
213,4,29.4,0.265017668,11.32,50.4,0,0,1,0,1,0,,,,,
214,8,29,0.216632567,11.87,47,0,0,1,0,1,0,,,,,
215,5,33.5,0.304568528,9.85,54.5,0,0,1,0,1,0,,,,,
216,9,30,0.153609831,12.09,43,0,1,0,0,1,0,,,,,
217,5,29.5,0.252348241,10.19,47.5,0,0,0,1,1,0,,,,,
218,4,27.4,0.25535537,10.07,45.4,0,1,0,0,1,0,,,,,
219,8,31,0.420168067,10.54,62,0,1,0,0,0,1,,,,,
220,4,28.4,0.239872068,10.72,46.4,0,1,0,0,1,0,,,,,
221,4,30.4,0.188521156,13.64,48.4,1,0,0,0,1,0,,,,,
222,5,28.5,0.209467951,13.64,48.5,0,0,1,0,1,0,,,,,
223,4,29.4,0.325027086,9.23,50.4,0,1,0,0,1,0,,,,,
224,6,32.2,0.293119408,9.26,51.2,0,1,0,0,1,0,,,,,
225,5,31.5,0.288276746,13.38,58.5,0,1,0,0,1,0,,,,,
226,7,33.1,0.250260688,13.7,57.1,0,1,0,0,1,0,,,,,
227,3,28.3,0.363077782,10.23,54.3,0,0,1,0,1,0,,,,,
228,6,28.2,0.179761024,13.51,45.2,0,0,1,0,1,0,,,,,
229,8,30,0.205811138,11.8,47,0,0,1,0,1,0,,,,,
230,6,31.2,0.369856681,9.27,55.2,0,0,1,0,1,0,,,,,
231,8,31,0.279589935,10.73,52,0,0,1,0,1,0,,,,,
232,8,30,0.164609053,12.15,44,1,0,0,0,1,0,,,,,
233,7,30.1,0.215543049,11.93,48.1,0,0,0,1,0,1,,,,,
234,5,28.5,0.182462166,13.31,45.5,1,0,0,0,1,0,,,,,
235,6,32.2,0.327588663,10.03,55.2,0,0,0,1,1,0,,,,,
236,8,32,0.283553875,10.58,53,1,0,0,0,0,1,,,,,
237,8,30,0.249411113,10.31,48,0,0,0,1,1,0,,,,,
238,5,32.5,0.290771176,11.3,55.5,0,0,0,1,1,0,,,,,
239,6,28.2,0.255536627,11.74,49.2,0,1,0,0,1,0,,,,,
240,3,29.3,0.27451411,13.01,54.3,0,0,1,0,1,0,,,,,
241,4,33.4,0.265326072,10.23,52.4,0,0,1,0,1,0,,,,,
242,4,28.4,0.330687831,12.96,58.4,0,0,0,1,1,0,,,,,
243,5,30.5,0.235694644,10.91,48.5,0,0,1,0,1,0,,,,,
244,5,30.5,0.22536622,11.41,48.5,0,0,1,0,1,0,,,,,
245,9,33,0.292440415,9.77,53,0,0,1,0,1,0,,,,,
246,6,30.2,0.289792852,13.31,57.2,0,0,1,0,1,0,,,,,
247,5,33.5,0.375559728,9.89,59.5,0,1,0,0,1,0,,,,,
248,8,30,0.222804718,10.9,47,0,1,0,0,0,1,,,,,
249,7,27.1,0.449821622,9.21,56.1,0,0,1,0,1,0,,,,,
250,9,30,0.336494341,9.34,52,0,0,0,1,1,0,,,,,
251,6,32.2,0.177876598,12.85,48.2,1,0,0,0,1,0,,,,,
252,3,31.3,0.343520493,12.06,60.3,0,0,1,0,1,0,,,,,
253,9,33,0.190985485,11.22,48,0,0,1,0,1,0,,,,,
254,7,28.1,0.253865682,12.38,50.1,0,1,0,0,1,0,,,,,
255,7,27.1,0.304398027,13.61,56.1,0,0,1,0,1,0,,,,,
256,7,30.1,0.139941691,12.25,42.1,0,1,0,0,1,0,,,,,
257,4,28.4,0.244390136,12.86,50.4,0,1,0,0,1,0,,,,,
258,6,32.2,0.278293135,9.24,50.2,1,0,0,0,1,0,,,,,
259,8,31,0.245727689,12.79,53,0,0,1,0,1,0,,,,,
260,7,30.1,0.233936369,9.16,45.1,1,0,0,0,1,0,,,,,
261,4,31.4,0.208246564,10.29,46.4,1,0,0,0,1,0,,,,,
262,8,32,0.256437654,13.37,56,0,0,1,0,1,0,,,,,
263,8,30,0.25005436,13.14,53,0,0,0,1,1,0,,,,,
264,5,27.5,0.248015873,11.52,47.5,0,0,0,1,1,0,,,,,
265,7,32.1,0.178309209,13.62,49.1,0,0,1,0,1,0,,,,,
266,4,30.4,0.325732899,9.21,51.4,1,0,0,0,1,0,,,,,
267,4,33.4,0.252491694,10.75,52.4,1,0,0,0,1,0,,,,,
268,9,28,0.36702428,10.12,54,0,1,0,0,1,0,,,,,
269,7,27.1,0.325563224,10.97,52.1,0,0,1,0,1,0,,,,,
270,5,27.5,0.310852818,10.57,50.5,0,0,1,0,1,0,,,,,
271,9,33,0.151682295,10.36,44,0,0,1,0,1,0,,,,,
272,7,29.1,0.323755565,10.59,53.1,1,0,0,0,1,0,,,,,
273,5,30.5,0.301895906,11.83,55.5,0,0,1,0,1,0,,,,,
274,7,32.1,0.19232824,13.37,50.1,0,1,0,0,0,1,,,,,
275,5,27.5,0.306435138,9.79,48.5,0,0,1,0,1,0,,,,,
276,3,31.3,0.394794561,9.77,58.3,0,1,0,0,1,0,,,,,
277,6,28.2,0.240500241,11.88,48.2,0,0,0,1,0,1,,,,,
278,5,32.5,0.382379933,9.34,57.5,0,0,0,1,1,0,,,,,
279,6,30.2,0.322782174,13.72,61.2,0,0,1,0,1,0,,,,,
280,8,33,0.317703769,13.04,62,0,0,1,0,1,0,,,,,
281,7,29.1,0.380749315,9.38,54.1,0,0,1,0,1,0,,,,,
282,6,28.2,0.267022697,9.63,46.2,0,0,1,0,1,0,,,,,
283,6,32.2,0.382653061,10.08,59.2,0,0,1,0,1,0,,,,,
284,7,30.1,0.286574008,9.97,50.1,0,1,0,0,1,0,,,,,
285,4,29.4,0.272673385,12.05,52.4,0,1,0,0,1,0,,,,,
286,7,31.1,0.369663725,11.98,62.1,1,0,0,0,1,0,,,,,
287,4,27.4,0.229573203,13.69,49.4,0,0,1,0,1,0,,,,,
288,9,29,0.350968413,10.99,56,0,0,0,1,1,0,,,,,
289,7,28.1,0.262027041,13.63,53.1,0,0,1,0,1,0,,,,,
290,7,31.1,0.133224021,13.94,44.1,0,0,1,0,1,0,,,,,
291,4,31.4,0.28872709,11.38,54.4,0,0,1,0,1,0,,,,,
292,4,32.4,0.306919643,10.24,54.4,1,0,0,0,1,0,,,,,
293,8,27,0.304699402,12.19,53,0,0,1,0,1,0,,,,,
294,3,32.3,0.318309142,11.22,57.3,0,1,0,0,1,0,,,,,
295,5,29.5,0.219611288,13.01,49.5,0,0,1,0,1,0,,,,,
296,9,29,0.318003914,11.68,55,0,1,0,0,1,0,,,,,
297,6,27.2,0.246517934,11.59,47.2,0,0,1,0,1,0,,,,,
298,7,29.1,0.333636639,9.42,51.1,0,0,0,1,0,1,,,,,
299,7,33.1,0.424328147,9.09,60.1,0,0,1,0,1,0,,,,,
300,3,27.3,0.380002375,12.03,59.3,0,0,0,1,0,1,,,,,
301,4,33.4,0.30875193,12.03,59.4,0,0,1,0,1,0,,,,,
302,4,32.4,0.224135897,12.11,51.4,0,0,1,0,1,0,,,,,
303,6,32.2,0.329261816,13.45,63.2,0,0,1,0,1,0,,,,,
304,9,29,0.298210736,10.06,50,0,0,1,0,1,0,,,,,
305,3,31.3,0.376966073,10.99,60.3,0,1,0,0,1,0,,,,,
306,7,33.1,0.159616919,10.74,45.1,0,1,0,0,1,0,,,,,
307,8,31,0.144300144,12.87,44,0,0,1,0,0,1,,,,,
308,5,27.5,0.245298446,12.23,48.5,0,1,0,0,1,0,,,,,
309,4,30.4,0.302996297,12.73,57.4,0,0,1,0,1,0,,,,,
310,4,33.4,0.25801195,10.52,52.4,1,0,0,0,1,0,,,,,
311,8,29,0.228343085,10.01,45,0,1,0,0,1,0,,,,,
312,8,33,0.214661372,13.31,53,0,0,0,1,1,0,,,,,
313,3,30.3,0.255319149,11.75,51.3,0,1,0,0,1,0,,,,,
314,4,27.4,0.245901639,12.2,48.4,1,0,0,0,1,0,,,,,
315,6,28.2,0.34408054,11.21,55.2,0,0,1,0,1,0,,,,,
316,4,27.4,0.321508949,13.33,57.4,1,0,0,0,1,0,,,,,
317,5,29.5,0.232177001,10.46,46.5,0,0,0,1,1,0,,,,,
318,4,31.4,0.156494523,12.78,45.4,0,0,1,0,0,1,,,,,
319,5,30.5,0.210859251,13.55,50.5,0,1,0,0,1,0,,,,,
320,6,28.2,0.285466054,11.51,51.2,0,1,0,0,1,0,,,,,
321,6,33.2,0.21819017,12.44,52.2,0,1,0,0,1,0,,,,,
322,5,27.5,0.264550265,12.42,50.5,0,0,0,1,1,0,,,,,
323,8,29,0.173160173,13.2,45,0,0,1,0,1,0,,,,,
324,5,32.5,0.378329298,9.44,57.5,0,0,0,1,1,0,,,,,
325,8,29,0.217419107,11.17,46,0,0,1,0,1,0,,,,,
326,9,33,0.263574064,10.84,53,1,0,0,0,1,0,,,,,
327,3,29.3,0.19896538,10.77,44.3,0,0,0,1,1,0,,,,,
328,6,32.2,0.142857143,11,43.2,0,0,0,1,1,0,,,,,
329,3,27.3,0.274037889,11.99,50.3,1,0,0,0,1,0,,,,,
330,7,29.1,0.248106555,10.94,48.1,0,0,1,0,1,0,,,,,
331,7,32.1,0.1998002,12.87,50.1,0,0,1,0,1,0,,,,,
332,8,33,0.247879974,10.95,52,0,0,0,1,1,0,,,,,
333,4,32.4,0.284184064,13.07,58.4,0,0,1,0,1,0,,,,,
334,4,32.4,0.274245824,11.46,54.4,0,0,0,1,1,0,,,,,
335,4,29.4,0.218102508,11.79,47.4,1,0,0,0,1,0,,,,,
336,6,27.2,0.167280027,12.81,42.2,0,1,0,0,1,0,,,,,
337,6,28.2,0.334531037,11.53,55.2,0,0,1,0,1,0,,,,,
338,8,30,0.156985871,11.83,43,0,1,0,0,1,0,,,,,
339,6,27.2,0.236127509,13.31,49.2,0,1,0,0,1,0,,,,,
340,6,27.2,0.228206298,12.52,47.2,0,1,0,0,1,0,,,,,
341,9,27,0.313627097,9.11,47,0,0,0,1,1,0,,,,,
342,6,27.2,0.217273221,10.52,43.2,0,1,0,0,1,0,,,,,
343,4,31.4,0.311962134,13.28,60.4,1,0,0,0,1,0,,,,,
344,4,33.4,0.188383046,9.1,45.4,0,0,0,1,1,0,,,,,
345,8,28,0.281132861,13.72,55,0,0,0,1,1,0,,,,,
346,9,33,0.285714286,13.5,60,0,0,0,1,1,0,,,,,
347,4,29.4,0.232288037,11.07,47.4,0,0,1,0,1,0,,,,,
348,7,27.1,0.210664911,10.85,43.1,0,0,1,0,1,0,,,,,
349,6,27.2,0.294247462,9.71,47.2,0,0,1,0,1,0,,,,,
350,9,30,0.362772079,11.42,59,1,0,0,0,1,0,,,,,
351,4,33.4,0.266193434,9.66,51.4,0,0,1,0,1,0,,,,,
352,4,30.4,0.305647841,10.75,53.4,0,0,1,0,1,0,,,,,
353,6,28.2,0.340460302,10.49,53.2,0,1,0,0,1,0,,,,,
354,6,28.2,0.29154519,12.25,53.2,0,0,1,0,1,0,,,,,
355,5,32.5,0.271403898,11.58,54.5,1,0,0,0,1,0,,,,,
356,9,33,0.282047666,10.13,53,0,1,0,0,1,0,,,,,
357,9,32,0.298261853,13.89,61,0,0,1,0,1,0,,,,,
358,8,27,0.148698885,13.45,41,1,0,0,0,1,0,,,,,
359,8,31,0.175865801,10.56,44,0,0,0,1,1,0,,,,,
360,9,29,0.264773138,11.87,51,0,0,1,0,0,1,,,,,
361,5,28.5,0.217316711,12.49,47.5,1,0,0,0,0,1,,,,,
362,4,27.4,0.255102041,9.52,44.4,0,0,1,0,1,0,,,,,
